hospital,demand,seed,variant,public_p90_s,bed_p90_s,public_mean_s,bed_mean_s,public_count,bed_count,trips,utilization_pct,clearance_min
nanjing,0.6,431,a,49.93617127135349,81.94971602409818,23.75564147726906,46.62980365921951,640,44,617,78.56181101214852,1.0658256283567122
nanjing,0.6,431,b,49.07931681243208,246.1999635163653,26.15211291258346,108.58191820456926,640,44,601,75.71771786116524,1.0631186840698925
nanjing,1,13,a,84.4342117751202,118.62144773012507,42.58316176181949,79.26045268882554,1099,75,728,97.64582182296894,2.1448356402052924
nanjing,1,13,b,82.47406148755044,446.11149404948463,45.36794633520484,202.62375205256762,1099,75,724,94.33601560418543,3.245557487325671
nanjing,1,29,a,85.58846432859546,152.94697558258082,43.07851851222775,91.66191940222122,1062,55,741,96.89121002179223,0.9641279314406347
nanjing,1,29,b,73.6861225119721,457.4350577843388,40.91337224599486,180.48819241351984,1062,55,701,88.88113196808727,1.5317772322549292
nanjing,1,47,a,83.88438157242163,117.81364782356067,44.594639621107206,76.18361095248304,1080,73,725,98.08141772166404,1.5880239081395302
nanjing,1,47,b,78.1795248618433,320.7986700342018,42.35917902178715,150.8406925822933,1080,73,714,93.99802626464493,1.5635418213681986
nanjing,1,71,a,97.53797653725888,137.2706962270231,49.84096190085553,81.1075890809858,1099,80,725,99.08964640246894,1.030990571392643
nanjing,1,71,b,87.68527244513317,528.8948539674734,47.73642851101991,250.33198530318933,1099,80,729,96.18712851368767,0.7035696409820654
nanjing,1,101,a,84.91289972909266,130.8603619992632,44.668879931576384,80.95607133564921,1108,66,740,97.8243396283256,1.579713708182832
nanjing,1,101,b,78.39395723347359,373.43241018260755,45.49210046825308,165.75724663016558,1108,66,718,92.15076187356549,3.7103457748811404
nanjing,1,137,a,86.91991637481824,122.54694496529993,44.15668679904272,76.64036146690259,1075,77,726,98.79201025637997,1.1401779214632672
nanjing,1,137,b,71.89384662996291,389.3461060909662,40.09361605659863,180.58692563968464,1075,77,721,95.01856462154625,1.3230032760314618
nanjing,1,179,a,91.91923871656127,146.0613212457729,46.187443331171316,79.38485628431802,1066,71,717,96.70585394353208,1.5582021184244392
nanjing,1,179,b,77.66095889504095,593.7609123643451,44.70604020101466,216.36773089262985,1066,71,718,92.21028420624721,6.0307750535405225
nanjing,1,223,a,81.19205425609894,110.47087769398405,42.98278859375883,74.21668780971899,1054,70,734,97.19187278196215,2.6596780121574133
nanjing,1,223,b,81.17675634143234,202.47416719553445,44.21896722086403,100.04586312200071,1054,70,708,91.41384024424522,4.482189713971456
nanjing,1,269,a,98.22571275024815,136.28866443303232,50.77362765745242,82.45144683891553,1042,82,719,97.78525819575059,1.9711464863727695
nanjing,1,269,b,81.17187809981878,584.099238387311,43.792696969416816,293.2400551307681,1042,82,720,94.48644985676697,7.464464228325414
nanjing,1,317,a,92.67315049905278,134.39099589950274,47.25839716999437,82.4516287811036,1054,76,728,96.94628474548064,2.6916983565230113
nanjing,1,317,b,83.81870556236724,742.9416806201743,46.283717816736754,335.62651497145526,1054,76,722,92.02740505734738,13.964447802886237
nanjing,1,373,a,80.78751101063608,109.15726914354563,41.88119059788014,72.30275803058083,1021,74,724,97.09608551975255,2.1299655191706734
nanjing,1,373,b,74.63827262154922,281.08913190101396,40.22945056595925,159.92929476065174,1021,74,717,92.73381927219815,3.3805814256479305
nanjing,1,431,a,83.39532117861945,123.87007708812507,45.708350895860626,76.15674809743132,1050,71,740,98.32197602121003,2.319044155097466
nanjing,1,431,b,86.61233059260204,414.7841670144162,48.5541321756953,180.3650891365971,1050,71,716,92.38761724764665,1.6960627576527258
nanjing,1.4,13,a,105.83054377036267,138.25103779141753,57.52065153516373,102.67659964977318,1538,93,723,99.93829360451686,3.0744588634612833
nanjing,1.4,13,b,91.08671820088566,778.6326075912052,50.84360739710833,390.6641195031848,1538,93,745,97.76849600744593,16.047673599492708
nanjing,1.4,29,a,120.36706463048176,174.43216591340607,62.978012966203984,118.67326879919158,1501,99,712,99.91131770077044,2.1412029851307426
nanjing,1.4,29,b,94.72807916152851,884.8479627802561,52.62577033169023,508.0424256754605,1501,99,761,98.7384884132917,21.33048418812062
nanjing,1.4,47,a,145.7044834224971,206.88903553355186,74.5514879286514,139.92949299206958,1511,125,674,99.7748764886533,4.2220463916335875
nanjing,1.4,47,b,90.72868700804884,3314.662023836972,50.827952994606264,1823.636347370808,1511,125,780,99.49858194617899,64.7547431691025
nanjing,1.4,71,a,121.42656605065105,186.06594442832025,64.10389159284155,119.86371822195164,1519,92,726,99.71021081449824,2.3607611139322824
nanjing,1.4,71,b,96.69618821912772,1501.256212812399,54.73935653754821,651.5967573947978,1519,92,747,97.93679866003848,9.550480361144915
nanjing,1.4,101,a,105.08081865233942,154.91526827258772,57.1204529181066,106.0148301238249,1533,85,732,99.88497384121399,1.279955607126006
nanjing,1.4,101,b,89.12288727718487,673.0829516374745,50.36784087770468,337.22920574677386,1533,85,748,97.10462292713143,3.0994330691222785
